All Vowels	Long Vowels	Short Vowels	Nasal Vowels	Oral Vowels	Fricatives	Nasals	Approximants	Taps	Stops
a	aː	a	ã	a	h	m	j	ɾ	b
aː	eː	ã	ĩ	aː	s	mː	jː		c
ã	oː	e	ũ	e	sː	n	l		d
e	uː	i	õ	eː	ʃ	nː	w		g
eː	õː	ĩ	õː	i		ŋ	w̃		k
i	ũː	o	ĩ	iː		ɲ			kː
iː	ɔː	u	ĩː	o					p
ĩ	ɛː	ũ	ũ	oː					pː
o	ɤː	õ	ũː	u					t
oː	ɤ̃ː	ĩ	ɐ̃	uː					tː
u	ɯː	ũ	ɔ̃	ɐ					ɡ
uː	ẽː	ɐ	ɛ̃	ɔ					
ũ		ɐ̃	ɤ̃	ɔː					
õ		ɔ	ɤ̃ː	ɛ					
õː		ɔ̃	ɯ̃	ɛː					
ĩ		ɛ	ẽ	ɤ					
ĩː		ɛ̃	ẽː	ɤː					
ũ		ɤ		ɯ					
ũː		ɤ̃		ɯː					
ɐ		ɯ							
ɐ̃		ɯ̃							
ɔ		ẽ							
ɔː									
ɔ̃									
ɛ									
ɛː									
ɛ̃									
ɤ									
ɤː									
ɤ̃									
ɤ̃ː									
ɯ									
ɯː									
ɯ̃									
ẽ									
ẽː									
